profile,Provincies_Naam,value,n_sample,gender
5,Noord-Holland,0.0259041631403605,2316188,all
1,Overijssel,0.2980527320220418,466719,female
1,Overijssel,0.2817799256775674,466030,male
1,Overijssel,0.2899223390216577,932749,all
2,Overijssel,0.057644817947187,466719,female
2,Overijssel,0.0561418389894866,466030,male
2,Overijssel,0.0568938835761426,932749,all
3,Overijssel,0.175963538431462,466030,male
3,Overijssel,0.1586024556047533,466719,female
3,Overijssel,0.1672765849039861,932749,all
4,Overijssel,0.4484005711580612,466719,female
4,Overijssel,0.4525366173130095,466030,male
4,Overijssel,0.4504670666349674,932749,all
5,Overijssel,0.0372994232679515,466719,female
5,Overijssel,0.0335780795884754,466030,male
5,Overijssel,0.0354401258632408,932749,all
1,Utrecht,0.2466387022520033,552881,female
1,Utrecht,0.2300718168498711,525003,male
1,Utrecht,0.238569499502192,1077884,all
2,Utrecht,0.0460371896510312,525003,male
2,Utrecht,0.0486995279524955,552881,female
2,Utrecht,0.0474027876768412,1077884,all
3,Utrecht,0.2215890650563543,525003,male
3,Utrecht,0.2046945707311848,552881,female
3,Utrecht,0.212923341363455,1077884,all
4,Utrecht,0.4755175159484838,552881,female
4,Utrecht,0.4791911676808348,525003,male
4,Utrecht,0.477306834818085,1077884,all
5,Utrecht,0.0244496831158323,552881,female
5,Utrecht,0.0231107607619077,525003,male
5,Utrecht,0.0237975366394233,1077884,all
1,Zeeland,0.1574,47427,female
1,Zeeland,0.4779,44544,male
1,Zeeland,0.2281303569717634,312657,all
2,Zeeland,0.6956,35682,female
2,Zeeland,0.2292,35277,male
2,Zeeland,0.0532762397598674,312657,all
3,Zeeland,0.8332,38450,female
3,Zeeland,0.3927,32328,male
3,Zeeland,0.1568986773943575,312657,all
4,Zeeland,0.1922,47567,female
4,Zeeland,0.0461,40363,male
4,Zeeland,0.5015544334944704,312657,all
5,Zeeland,0.213,34170,female
5,Zeeland,0.9925,38949,male
5,Zeeland,0.0601402923795368,312657,all
1,Zuid-Holland,0.8817,40891,female
1,Zuid-Holland,0.1094,35497,male
1,Zuid-Holland,0.2626147063973309,2968520,all
2,Zuid-Holland,0.318,46997,female
2,Zuid-Holland,0.0247,48715,male
2,Zuid-Holland,0.0552334000621228,2968520,all
3,Zuid-Holland,0.8418,36519,female
3,Zuid-Holland,0.2256,32366,male
3,Zuid-Holland,0.1678029333163493,2968520,all
4,Zuid-Holland,0.7877,38617,female
4,Zuid-Holland,0.3561,36445,male
4,Zuid-Holland,0.4688157089897079,2968520,all
5,Zuid-Holland,0.92,33915,female
5,Zuid-Holland,0.8224,42907,male
5,Zuid-Holland,0.0455332512344968,2968520,all
